Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $306.71/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x397f4b17c5faae9d9703ebeb58ef98adde9181c28979fffb09dba9fa0d7d0129,20444733,1660512187,8/14/22 21:23,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,20,6134.2,0.00126609,0.388322464,317.75,,,Swap Exact ETH For Tokens
0x3eca393cf5fb65910f3b68eada8e2ededb50e4a7de8e06c92123aa225d7edc88,20444744,1660512220,8/14/22 21:23,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,10,3067.1,0.00126609,0.388322464,317.75,,,Swap Exact ETH For Tokens
0x55de43751985232a2fcf9f8932436700cc4c55c8e346d27e03df763d8a90d108,20503043,1660687680,8/16/22 22:08,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,94.95583383,29123.90379,0.000995841,0.305434393,316.17,,,Swap ETH For Exact Tokens
0x5053421ac461cc136f51c5c2dc714ecfb160d15531827f8dfed39a76da526494,20503254,1660688313,8/16/22 22:18,0x6e9afd530416fc332d47939463c292d9062209b1,0xe9e7cea3dedca5984780bafc599bd69add087d56,,0,0,0,0.000180635,0.055402561,316.17,,,Transfer
0xd4848f512a3c9ba2106581c205d89b046bca78c0b28b62c74f8183f299fea22d,20515462,1660724938,8/17/22 8:28,0x6e9afd530416fc332d47939463c292d9062209b1,0xc8c55fee1ff3f1ec2d25b9c9abe43ccc67b1b75b,,0,31.5,9661.365,0.000105,0.03220455,306.88,,,Transfer
0xd0bec785af26692731bd58f465f7502eeb36a0e7952ca0418275a47c533903a8,20523862,1660750146,8/17/22 15:29,0x6e9afd530416fc332d47939463c292d9062209b1,0x4c8608dfa3fa8617599b38983b57f0210192d9cc,,0,0.3,92.013,0.000105,0.03220455,306.88,,,Transfer
0x4e4d559e37104c5b38081d8dfab414d8b71fbae30d65f02d83bac8ec4da95019,20640933,1661101681,8/21/22 17:08,0x6e9afd530416fc332d47939463c292d9062209b1,0x489d2b8c7fa7f58a1ebe7b7b1d5be24b0f05201b,,0,40,12268.4,0.000105,0.03220455,301.88,,,Transfer
0xbd543f24d1ead731eca4dbbc49485871a04af176378f744a8610cc8d6472053a,20645451,1661115235,8/21/22 20:53,0x6e9afd530416fc332d47939463c292d9062209b1,0x489d2b8c7fa7f58a1ebe7b7b1d5be24b0f05201b,,0,50,15335.5,0.000105,0.03220455,301.88,,,Transfer
0x19fddf24e0e8aa8f9e7f919b25b5c8c51b382dd59d6d2590bfd29f9e700b5292,20647829,1661122369,8/21/22 22:52,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,99.35649428,30473.63036,0.000891401,0.273401601,301.88,,,Swap ETH For Exact Tokens
0x010eefa3a04fa6d9654e18398a89ca5bce2fc20e16d3cdd2ff9001ec06e58324,20648259,1661123659,8/21/22 23:14,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255575,0.078387408,301.88,,,Transfer
0x5e707bc25836640b93591bcb05427c1c478131716ca9f02ee3c2abfbc411a295,20659755,1661158175,8/22/22 8:49,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,50,15335.5,0.000105,0.03220455,299.91,,,Transfer
0x6ce6a09b4071ffead27afc900f80a7a869acd95c107f9691888cbae7083bcb92,20663742,1661170140,8/22/22 12:09,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,5,1533.55,0.001370922,0.420475487,299.91,,,Swap Exact ETH For Tokens
0x93101b007f8f3c0175d4479b56ddef81f8c96d17a7e657aa08f566281df6131e,20664359,1661171991,8/22/22 12:39,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,30,9201.3,0.001181418,0.362352715,299.91,,,Swap Exact ETH For Tokens
0x320e811cf2f72d934f95e5f4e318450e0ffb76e94320a753a1224cd51eb489d3,20664642,1661172840,8/22/22 12:54,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,10,3067.1,0.001265922,0.388270937,299.91,,,Swap Exact ETH For Tokens
0xd683819caa5ff363b725d895c66eb33b30895352ae05ee7f6e1dc2d0398a7c86,20664649,1661172861,8/22/22 12:54,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,20,6134.2,0.001266006,0.3882967,299.91,,,Swap Exact ETH For Tokens
0x487e9090c4028d5d0199184d0b21cd6abb1d982c41b347891c75092c3de4a36e,20665118,1661174274,8/22/22 13:17,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,5,1533.55,0.001265922,0.388270937,299.91,,,Swap Exact ETH For Tokens
0x7807a132d81c932ec7ed0d9308709a9b2bbec161bf572f336cccce5761a42c7b,20674855,1661203486,8/22/22 21:24,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,47,14415.37,0.001790922,0.549293687,299.91,,,Swap Exact ETH For Tokens
0x94909fd725a6c21291491234fb424a28c552bc2d425f0d89d8389d83b458839f,20731399,1661373185,8/24/22 20:33,0x6e9afd530416fc332d47939463c292d9062209b1,0x4c8608dfa3fa8617599b38983b57f0210192d9cc,,0,0.2,61.342,0.000105,0.03220455,296.34,,,Transfer
0xed0cc6265f646afe688b335e4b8ecf83c1f8503cc43af3c9eb9533756113b34d,20764212,1661472041,8/26/22 0:00,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,90,27603.9,0.000939988,0.288303719,279.53,,,Swap Exact ETH For Tokens
0x5c2646ca3575583213fb8cdff9e94af123d5ef3b29f8bdc523cfa6b66a6c3032,20764227,1661472086,8/26/22 0:01,0x6e9afd530416fc332d47939463c292d9062209b1,0xe9e7cea3dedca5984780bafc599bd69add087d56,,0,0,0,0.000255575,0.078387408,279.53,,,Transfer
0x9026780c0318da8648ea89df076919e02c499f6154fb936fb229025edd3ecd87,20764444,1661472737,8/26/22 0:12,0x6e9afd530416fc332d47939463c292d9062209b1,0xe9e7cea3dedca5984780bafc599bd69add087d56,,0,0,0,0.000255515,0.078369006,279.53,,,Transfer
0x62e498a9a2b6d3ba61e38d3e7f8828abb84a95efccec49f12e490ad94b878dd7,20778212,1661514167,8/26/22 11:42,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,10,3067.1,0.002391102,0.733374894,279.53,,,Swap Exact ETH For Tokens
0xc7d3011ca4b97cbfb306fc82a0ae1b2221e1a2f2e2ece36f39fd60ed03ade58e,20787070,1661540838,8/26/22 19:07,0x6e9afd530416fc332d47939463c292d9062209b1,0xe9e7cea3dedca5984780bafc599bd69add087d56,,0,0,0,0.000310842,0.09533835,279.53,,,Approve
0x1daee2137833bfa30417055b9d4014a679a4e39a92c17a71a1ba3c9d1ea82aaa,20787077,1661540859,8/26/22 19:07,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.002029748,0.622544009,279.53,,,Swap Exact Tokens For Tokens
0x913fb4ce7a716ee63a6d9a9d0ac249d2b623cb1f676f32f0c61df441ff588dfd,20787159,1661541105,8/26/22 19:11,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,12,3680.52,0.001631882,0.500514528,279.53,,,Swap Exact ETH For Tokens
