Exchange,Volume,ds
MEXC_Global,799294847,2023-03-28
KuCoin,773442243.5,2023-03-28
Bitget,751250347.7,2023-03-28
Kraken,642164597.4,2023-03-28
Huobi,537973710.1,2023-03-28
Binance US,286356088.9,2023-03-28
Bitfinex,186429382,2023-03-28
Bitstamp,160660833.6,2023-03-28
Gemini,34726344.45,2023-03-28
Binance,4528970912,2023-03-27
Coinbase_Exchange,840849898,2023-03-27
Bitget,773917347.1,2023-03-27
MEXC_Global,609035733.6,2023-03-27
Bybit,506849806.3,2023-03-27
KuCoin,506399028.6,2023-03-27
Gate.io,476976526.9,2023-03-27
OKX,475966940.8,2023-03-27
Huobi,427235896.3,2023-03-27
Kraken,343948941.7,2023-03-27
Binance US,153321490.8,2023-03-27
Bitstamp,86051483.08,2023-03-27
Bitfinex,85903636.91,2023-03-27
Gemini,15298876.73,2023-03-27
Binance,3893283580,2023-03-26
Coinbase_Exchange,765977937.9,2023-03-26
Bitget,668989332.7,2023-03-26
MEXC_Global,526462680,2023-03-26
Bybit,506396285.2,2023-03-26
KuCoin,483976296,2023-03-26
Huobi,435055817.1,2023-03-26
Gate.io,410027904.8,2023-03-26
OKX,409160095.9,2023-03-26
Kraken,295672161.4,2023-03-26
Binance US,132534204.1,2023-03-26
Bitfinex,94439978.61,2023-03-26
Bitstamp,73973121.5,2023-03-26
Gemini,16648554.14,2023-03-26
Binance,10802559688,2023-03-24
Coinbase_Exchange,1927406682,2023-03-24
Bybit,1421791007,2023-03-24
Bitget,1331206024,2023-03-24
Gate.io,1137690410,2023-03-24
OKX,1135282735,2023-03-24
Huobi,980580357.1,2023-03-24
KuCoin,977327470.4,2023-03-24
Kraken,820391398.5,2023-03-24
Binance US,365704503.3,2023-03-24
Bitfinex,211496007.4,2023-03-24
Bitstamp,205250925,2023-03-24
Gemini,46707491.62,2023-03-24
Binance,13613302149,2023-03-23
Coinbase_Exchange,2179346537,2023-03-23
MEXC_Global,1830656406,2023-03-23
Gate.io,1433708907,2023-03-23
OKX,1430674369,2023-03-23
Bybit,1399101997,2023-03-23
KuCoin,1124302369,2023-03-23
Kraken,1033850920,2023-03-23
Bitget,953427945.8,2023-03-23
Huobi,779461646.2,2023-03-23
Binance US,460858043.5,2023-03-23
Bitfinex,260219070.7,2023-03-23
Bitstamp,258655489.8,2023-03-23
Gemini,51323331.92,2023-03-23
Binance,8873768722,2023-03-22
Coinbase_Exchange,1677855394,2023-03-22
MEXC_Global,1193304859,2023-03-22
Bitget,937500405.2,2023-03-22
Bybit,935939640.1,2023-03-22
Gate.io,934556647.8,2023-03-22
OKX,932578713.2,2023-03-22
KuCoin,823913284.8,2023-03-22
Kraken,673910868.6,2023-03-22
Huobi,602726520.6,2023-03-22
Binance US,300408086.8,2023-03-22
Bitstamp,168603521.2,2023-03-22
Bitfinex,137273207,2023-03-22
Gemini,31937467.67,2023-03-22
Binance,10763079569,2023-03-21
Coinbase_Exchange,1743005324,2023-03-21
MEXC_Global,1296537404,2023-03-21
Gate.io,1133532506,2023-03-21
OKX,1131133618,2023-03-21
Bybit,905922817.3,2023-03-21
Bitget,887982245.4,2023-03-21
Kraken,817393006,2023-03-21
KuCoin,795806703.2,2023-03-21
Huobi,620983620.8,2023-03-21
Binance US,364367878.6,2023-03-21
Bitstamp,204500665.5,2023-03-21
Bitfinex,136778341.4,2023-03-21
Gemini,35112546.03,2023-03-21
Binance,13577763249,2023-03-20
Coinbase_Exchange,2092028735,2023-03-20
MEXC_Global,1825877282,2023-03-20
Gate.io,1429966043,2023-03-20
OKX,1426939482,2023-03-20
Bybit,1171057357,2023-03-20
Kraken,1010687718,2023-03-20
KuCoin,957679267.5,2023-03-20
Bitget,897821470.6,2023-03-20
Huobi,648958965.5,2023-03-20
Binance US,459654927.1,2023-03-20
Bitfinex,381555043.8,2023-03-20
Bitstamp,225963602.4,2023-03-20
Gemini,38432804.1,2023-03-20
Binance,8238730296,2023-03-19
Coinbase_Exchange,1238019787,2023-03-19
MEXC_Global,1048563697,2023-03-19
Gate.io,867676305.1,2023-03-19
OKX,865839843.3,2023-03-19
Bitget,860810473.2,2023-03-19
Bybit,827821641.1,2023-03-19
KuCoin,725593936.2,2023-03-19
Huobi,539220380.9,2023-03-19
Kraken,491176496,2023-03-19
Binance US,278909976.3,2023-03-19
Bitfinex,165136494.4,2023-03-19
Bitstamp,115443837.2,2023-03-19
Gemini,23954871.46,2023-03-19
Binance,13371696125,2023-03-18
Coinbase_Exchange,2415537771,2023-03-18
Gate.io,1408263722,2023-03-18
OKX,1405283188,2023-03-18
MEXC_Global,1146372331,2023-03-18
Bybit,1101460616,2023-03-18
KuCoin,1045593099,2023-03-18
Kraken,961476439,2023-03-18
Bitget,884342458.4,2023-03-18
Huobi,652750346.3,2023-03-18
Bitfinex,490729626.2,2023-03-18
Binance US,452678694.1,2023-03-18
Bitstamp,249049363.7,2023-03-18
Gemini,51659445.3,2023-03-18
Binance,11998146762,2023-03-17
Coinbase_Exchange,2161168755,2023-03-17
MEXC_Global,1379679416,2023-03-17
Gate.io,1263606001,2023-03-17
OKX,1260931677,2023-03-17
Bybit,1087829497,2023-03-17
KuCoin,925048241.9,2023-03-17
Kraken,911189311,2023-03-17
Bitget,850559141.3,2023-03-17
Huobi,695743098.2,2023-03-17
Binance US,406179315.7,2023-03-17
Bitfinex,401874609.1,2023-03-17
Bitstamp,203954816.8,2023-03-17
Gemini,44268040.14,2023-03-17
Binance,11096701268,2023-03-16
Coinbase_Exchange,2177183044,2023-03-16
MEXC_Global,1492235073,2023-03-16
Bybit,1264753664,2023-03-16
OKX,1166195112,2023-03-16
KuCoin,867705297,2023-03-16
Kraken,842729646.5,2023-03-16
Bitget,791472413,2023-03-16
Huobi,679725983.8,2023-03-16
Binance US,375662163.2,2023-03-16
Bitstamp,210839611.8,2023-03-16
Bitfinex,150565165,2023-03-16
Gemini,31427336.38,2023-03-16
